nominees,details,award_show,year,award,winner,ref_year
Maleficent: Mistress of Evil,"Paul Gooch, Arjen Tuiten, David White",Academy Awards,2020,Best Achievement in Makeup and Hairstyling,0,1
1917,Thomas Newman,Academy Awards,2020,Best Achievement in Music Written for Motion Pictures (Original Score),1,1
Joker,Hildur Guðnadóttir,Academy Awards,2020,Best Achievement in Music Written for Motion Pictures (Original Score),0,1
Little Women,Alexandre Desplat,Academy Awards,2020,Best Achievement in Music Written for Motion Pictures (Original Score),0,1
Marriage Story,Randy Newman,Academy Awards,2020,Best Achievement in Music Written for Motion Pictures (Original Score),0,1
Star Wars: Episode IX - The Rise of Skywalker,John Williams,Academy Awards,2020,Best Achievement in Music Written for Motion Pictures (Original Score),0,1
Breakthrough,Diane Warren,Academy Awards,2020,Best Achievement in Music Written for Motion Pictures (Original Song),1,1
Frozen II,"Kristen Anderson-Lopez, Robert Lopez",Academy Awards,2020,Best Achievement in Music Written for Motion Pictures (Original Song),0,1
Harriet,"Cynthia Erivo, Joshuah Brian Campbell",Academy Awards,2020,Best Achievement in Music Written for Motion Pictures (Original Song),0,1
Rocketman,"Elton John, Bernie Taupin",Academy Awards,2020,Best Achievement in Music Written for Motion Pictures (Original Song),0,1
Toy Story 4,Randy Newman,Academy Awards,2020,Best Achievement in Music Written for Motion Pictures (Original Song),0,1
1917,"Mark Taylor, Stuart Wilson",Academy Awards,2020,Best Achievement in Sound Mixing,1,1
Ad Astra,"Gary Rydstrom, Tom Johnson, Mark Ulano",Academy Awards,2020,Best Achievement in Sound Mixing,0,1
Ford v Ferrari,"Paul Massey, David Giammarco, Steven Morrow",Academy Awards,2020,Best Achievement in Sound Mixing,0,1
Joker,"Tom Ozanich, Dean A. Zupancic, Tod A. Maitland",Academy Awards,2020,Best Achievement in Sound Mixing,0,1
Once Upon a Time... in Hollywood,"Michael Minkler, Christian P. Minkler, Mark Ulano",Academy Awards,2020,Best Achievement in Sound Mixing,0,1
1917,"Oliver Tarney, Rachael Tate",Academy Awards,2020,Best Achievement in Sound Editing,1,1
Ford v Ferrari,Donald Sylvester,Academy Awards,2020,Best Achievement in Sound Editing,0,1
Joker,Alan Robert Murray,Academy Awards,2020,Best Achievement in Sound Editing,0,1
Once Upon a Time... in Hollywood,Wylie Stateman,Academy Awards,2020,Best Achievement in Sound Editing,0,1
Star Wars: Episode IX - The Rise of Skywalker,"Matthew Wood, David Acord",Academy Awards,2020,Best Achievement in Sound Editing,0,1
1917,"Guillaume Rocheron, Greg Butler, Dominic Tuohy",Academy Awards,2020,Best Achievement in Visual Effects,1,1
Avengers: Endgame,"Dan DeLeeuw, Russell Earl, Matt Aitken, Daniel Sudick",Academy Awards,2020,Best Achievement in Visual Effects,0,1
Star Wars: Episode IX - The Rise of Skywalker,"Neal Scanlan, Patrick Tubach, Dominic Tuohy, Roger Guyett",Academy Awards,2020,Best Achievement in Visual Effects,0,1
The Irishman,"Pablo Helman, Leandro Estebecorena, Nelson Sepulveda, Stephane Grabli",Academy Awards,2020,Best Achievement in Visual Effects,0,1
The Lion King,"Robert Legato, Adam Valdez, Andrew R. Jones, Elliot Newman",Academy Awards,2020,Best Achievement in Visual Effects,0,1
American Factory,"Steven Bognar, Julia Reichert, Jeff Reichert",Academy Awards,2020,Best Documentary Feature,1,1
For Sama,"Waad Al-Kateab, Edward Watts",Academy Awards,2020,Best Documentary Feature,0,1
Honeyland,"Ljubomir Stefanov, Tamara Kotevska, Atanas Georgiev",Academy Awards,2020,Best Documentary Feature,0,1
The Cave,"Feras Fayyad, Kirstine Barfod, Sigrid Dyekjær",Academy Awards,2020,Best Documentary Feature,0,1
The Edge of Democracy,"Petra Costa, Joanna Natasegara, Shane Boris, Tiago Pavan",Academy Awards,2020,Best Documentary Feature,0,1
In the Absence,"Seung-jun Yi, Gary Byung-Seok Kam",Academy Awards,2020,Best Documentary Short Subject,1,1
Learning to Skateboard in a Warzone (If You're a Girl),"Carol Dysinger, Elena Andreicheva",Academy Awards,2020,Best Documentary Short Subject,0,1
Life Overtakes Me,"Kristine Samuelson, John Haptas",Academy Awards,2020,Best Documentary Short Subject,0,1
St. Louis Superman,"Sami Khan, Smriti Mundhra",Academy Awards,2020,Best Documentary Short Subject,0,1
Walk Run Cha-Cha,"Laura Nix, Colette Sandstedt",Academy Awards,2020,Best Documentary Short Subject,0,1
How to Train Your Dragon: The Hidden World,"Dean DeBlois, Bradford Lewis, Bonnie Arnold",Academy Awards,2020,Best Animated Feature Film,1,1
I Lost My Body,"Jérémy Clapin, Marc Du Pontavice",Academy Awards,2020,Best Animated Feature Film,0,1
Klaus,"Sergio Pablos, Jinko Gotoh, Marisa Roman",Academy Awards,2020,Best Animated Feature Film,0,1
Missing Link,"Chris Butler, Arianne Sutner, Travis Knight",Academy Awards,2020,Best Animated Feature Film,0,1
Toy Story 4,"Josh Cooley, Mark Nielsen, Jonas Rivera",Academy Awards,2020,Best Animated Feature Film,0,1
Daughter,Daria Kashcheeva,Academy Awards,2020,Best Animated Short Film,1,1
Hair Love,"Matthew A. Cherry, Karen Rupert Toliver",Academy Awards,2020,Best Animated Short Film,0,1
Kitbull,"Rosana Sullivan, Kathryn Hendrickson",Academy Awards,2020,Best Animated Short Film,0,1
Memorable,"Bruno Collet, Jean-François Le Corre",Academy Awards,2020,Best Animated Short Film,0,1
Sister,Siqi Song,Academy Awards,2020,Best Animated Short Film,0,1
Brotherhood,"Meryam Joobeur, Maria Gracia Turgeon",Academy Awards,2020,Best Live Action Short Film,1,1
Nefta Football Club,"Yves Piat, Damien Megherbi",Academy Awards,2020,Best Live Action Short Film,0,1
Saria,"Bryan Buckley, Matt Lefebvre",Academy Awards,2020,Best Live Action Short Film,0,1
The Neighbors' Window,Marshall Curry,Academy Awards,2020,Best Live Action Short Film,0,1
Une soeur,Delphine Girard,Academy Awards,2020,Best Live Action Short Film,0,1
Corpus Christi,,Academy Awards,2020,Best International Feature Film,1,1
Honeyland,,Academy Awards,2020,Best International Feature Film,0,1
Les misérables,,Academy Awards,2020,Best International Feature Film,0,1
Pain and Glory,,Academy Awards,2020,Best International Feature Film,0,1
Parasite,,Academy Awards,2020,Best International Feature Film,0,1
Green Book,"Jim Burke, Charles B. Wessler, Brian Hayes Currie, Peter Farrelly, Nick Vallelonga",Academy Awards,2019,Best Motion Picture of the Year,1,2
A Star Is Born,"Bill Gerber, Bradley Cooper, Lynette Howell Taylor",Academy Awards,2019,Best Motion Picture of the Year,0,2
BlacKkKlansman,"Sean McKittrick, Jason Blum, Raymond Mansfield, Jordan Peele, Spike Lee",Academy Awards,2019,Best Motion Picture of the Year,0,2
Black Panther,Kevin Feige,Academy Awards,2019,Best Motion Picture of the Year,0,2
Bohemian Rhapsody,Graham King,Academy Awards,2019,Best Motion Picture of the Year,0,2
Roma,"Gabriela Rodriguez, Alfonso Cuarón",Academy Awards,2019,Best Motion Picture of the Year,0,2
The Favourite,"Ceci Dempsey, Ed Guiney, Lee Magiday, Yorgos Lanthimos",Academy Awards,2019,Best Motion Picture of the Year,0,2
Vice,"Dede Gardner, Jeremy Kleiner, Adam McKay, Kevin J. Messick",Academy Awards,2019,Best Motion Picture of the Year,0,2
Rami Malek,Bohemian Rhapsody,Academy Awards,2019,Best Performance by an Actor in a Leading Role,1,2
Bradley Cooper,A Star Is Born,Academy Awards,2019,Best Performance by an Actor in a Leading Role,0,2
Christian Bale,Vice,Academy Awards,2019,Best Performance by an Actor in a Leading Role,0,2
Viggo Mortensen,Green Book,Academy Awards,2019,Best Performance by an Actor in a Leading Role,0,2
Willem Dafoe,At Eternity's Gate,Academy Awards,2019,Best Performance by an Actor in a Leading Role,0,2
Olivia Colman,The Favourite,Academy Awards,2019,Best Performance by an Actress in a Leading Role,1,2
Glenn Close,The Wife,Academy Awards,2019,Best Performance by an Actress in a Leading Role,0,2
Lady Gaga,A Star Is Born,Academy Awards,2019,Best Performance by an Actress in a Leading Role,0,2
Melissa McCarthy,Can You Ever Forgive Me?,Academy Awards,2019,Best Performance by an Actress in a Leading Role,0,2
Yalitza Aparicio,Roma,Academy Awards,2019,Best Performance by an Actress in a Leading Role,0,2
Mahershala Ali,Green Book,Academy Awards,2019,Best Performance by an Actor in a Supporting Role,1,2
Adam Driver,BlacKkKlansman,Academy Awards,2019,Best Performance by an Actor in a Supporting Role,0,2
Richard E. Grant,Can You Ever Forgive Me?,Academy Awards,2019,Best Performance by an Actor in a Supporting Role,0,2
Sam Elliott,A Star Is Born,Academy Awards,2019,Best Performance by an Actor in a Supporting Role,0,2
Sam Rockwell,Vice,Academy Awards,2019,Best Performance by an Actor in a Supporting Role,0,2
Regina King,If Beale Street Could Talk,Academy Awards,2019,Best Performance by an Actress in a Supporting Role,1,2
Amy Adams,Vice,Academy Awards,2019,Best Performance by an Actress in a Supporting Role,0,2
Emma Stone,The Favourite,Academy Awards,2019,Best Performance by an Actress in a Supporting Role,0,2
Marina de Tavira,Roma,Academy Awards,2019,Best Performance by an Actress in a Supporting Role,0,2
Rachel Weisz,The Favourite,Academy Awards,2019,Best Performance by an Actress in a Supporting Role,0,2
Alfonso Cuarón,Roma,Academy Awards,2019,Best Achievement in Directing,1,2
Adam McKay,Vice,Academy Awards,2019,Best Achievement in Directing,0,2
Pawel Pawlikowski,Cold War,Academy Awards,2019,Best Achievement in Directing,0,2
Spike Lee,BlacKkKlansman,Academy Awards,2019,Best Achievement in Directing,0,2
Yorgos Lanthimos,The Favourite,Academy Awards,2019,Best Achievement in Directing,0,2
Green Book,"Nick Vallelonga, Brian Hayes Currie, Peter Farrelly",Academy Awards,2019,Best Original Screenplay,1,2
First Reformed,Paul Schrader,Academy Awards,2019,Best Original Screenplay,0,2
Roma,Alfonso Cuarón,Academy Awards,2019,Best Original Screenplay,0,2
The Favourite,"Deborah Davis, Tony McNamara",Academy Awards,2019,Best Original Screenplay,0,2
Vice,Adam McKay,Academy Awards,2019,Best Original Screenplay,0,2
BlacKkKlansman,"Charlie Wachtel, David Rabinowitz, Kevin Willmott, Spike Lee",Academy Awards,2019,Best Adapted Screenplay,1,2
A Star Is Born,"Eric Roth, Bradley Cooper, Will Fetters",Academy Awards,2019,Best Adapted Screenplay,0,2
Can You Ever Forgive Me?,"Nicole Holofcener, Jeff Whitty",Academy Awards,2019,Best Adapted Screenplay,0,2
If Beale Street Could Talk,Barry Jenkins,Academy Awards,2019,Best Adapted Screenplay,0,2
The Ballad of Buster Scruggs,"Joel Coen, Ethan Coen",Academy Awards,2019,Best Adapted Screenplay,0,2
Roma,Alfonso Cuarón,Academy Awards,2019,Best Achievement in Cinematography,1,2
A Star Is Born,Matthew Libatique,Academy Awards,2019,Best Achievement in Cinematography,0,2
Cold War,Lukasz Zal,Academy Awards,2019,Best Achievement in Cinematography,0,2
Never Look Away,Caleb Deschanel,Academy Awards,2019,Best Achievement in Cinematography,0,2
The Favourite,Robbie Ryan,Academy Awards,2019,Best Achievement in Cinematography,0,2
Bohemian Rhapsody,John Ottman,Academy Awards,2019,Best Achievement in Film Editing,1,2
BlacKkKlansman,Barry Alexander Brown,Academy Awards,2019,Best Achievement in Film Editing,0,2
Green Book,Patrick J. Don Vito,Academy Awards,2019,Best Achievement in Film Editing,0,2
The Favourite,Yorgos Mavropsaridis,Academy Awards,2019,Best Achievement in Film Editing,0,2
Vice,Hank Corwin,Academy Awards,2019,Best Achievement in Film Editing,0,2
Black Panther,"Hannah Beachler, Jay Hart",Academy Awards,2019,Best Achievement in Production Design,1,2
First Man,"Nathan Crowley, Kathy Lucas",Academy Awards,2019,Best Achievement in Production Design,0,2
Mary Poppins Returns,"John Myhre, Gordon Sim",Academy Awards,2019,Best Achievement in Production Design,0,2
Roma,"Eugenio Caballero, Barbara Enriquez",Academy Awards,2019,Best Achievement in Production Design,0,2
The Favourite,"Fiona Crombie, Alice Felton",Academy Awards,2019,Best Achievement in Production Design,0,2
Black Panther,Ruth E. Carter,Academy Awards,2019,Best Achievement in Costume Design,1,2
Mary Poppins Returns,Sandy Powell,Academy Awards,2019,Best Achievement in Costume Design,0,2
Mary Queen of Scots,Alexandra Byrne,Academy Awards,2019,Best Achievement in Costume Design,0,2
The Ballad of Buster Scruggs,Mary Zophres,Academy Awards,2019,Best Achievement in Costume Design,0,2
The Favourite,Sandy Powell,Academy Awards,2019,Best Achievement in Costume Design,0,2
Vice,"Greg Cannom, Kate Biscoe, Patricia Dehaney",Academy Awards,2019,Best Achievement in Makeup and Hairstyling,1,2
Border,"Göran Lundström, Pamela Goldammer",Academy Awards,2019,Best Achievement in Makeup and Hairstyling,0,2
Mary Queen of Scots,"Jenny Shircore, Marc Pilcher, Jessica Brooks",Academy Awards,2019,Best Achievement in Makeup and Hairstyling,0,2
Black Panther,Ludwig Göransson,Academy Awards,2019,Best Achievement in Music Written for Motion Pictures (Original Score),1,2
BlacKkKlansman,Terence Blanchard,Academy Awards,2019,Best Achievement in Music Written for Motion Pictures (Original Score),0,2
If Beale Street Could Talk,Nicholas Britell,Academy Awards,2019,Best Achievement in Music Written for Motion Pictures (Original Score),0,2
Isle of Dogs,Alexandre Desplat,Academy Awards,2019,Best Achievement in Music Written for Motion Pictures (Original Score),0,2
Mary Poppins Returns,Marc Shaiman,Academy Awards,2019,Best Achievement in Music Written for Motion Pictures (Original Score),0,2
A Star Is Born,"Lady Gaga, Mark Ronson, Anthony Rossomando, Andrew Wyatt",Academy Awards,2019,Best Achievement in Music Written for Motion Pictures (Original Song),1,2
Black Panther,"Sounwave, Kendrick Lamar, Anthony Tiffith, SZA",Academy Awards,2019,Best Achievement in Music Written for Motion Pictures (Original Song),0,2
Mary Poppins Returns,"Marc Shaiman, Scott Wittman",Academy Awards,2019,Best Achievement in Music Written for Motion Pictures (Original Song),0,2
RBG,Diane Warren,Academy Awards,2019,Best Achievement in Music Written for Motion Pictures (Original Song),0,2
The Ballad of Buster Scruggs,"David Rawlings, Gillian Welch",Academy Awards,2019,Best Achievement in Music Written for Motion Pictures (Original Song),0,2
Bohemian Rhapsody,"Paul Massey, Tim Cavagin, John Casali",Academy Awards,2019,Best Achievement in Sound Mixing,1,2
A Star Is Born,"Tom Ozanich, Dean A. Zupancic, Jason Ruder, Steven Morrow",Academy Awards,2019,Best Achievement in Sound Mixing,0,2
Black Panther,"Steve Boeddeker, Brandon Proctor, Peter J. Devlin",Academy Awards,2019,Best Achievement in Sound Mixing,0,2
First Man,"Jon Taylor, Frank A. Montaño, Ai-Ling Lee, Mary H. Ellis",Academy Awards,2019,Best Achievement in Sound Mixing,0,2
Roma,"Skip Lievsay, Craig Henighan, José Antonio García",Academy Awards,2019,Best Achievement in Sound Mixing,0,2
Bohemian Rhapsody,"John Warhurst, Nina Hartstone",Academy Awards,2019,Best Achievement in Sound Editing,1,2
A Quiet Place,"Ethan Van der Ryn, Erik Aadahl",Academy Awards,2019,Best Achievement in Sound Editing,0,2
Black Panther,"Benjamin A. Burtt, Steve Boeddeker",Academy Awards,2019,Best Achievement in Sound Editing,0,2
First Man,"Ai-Ling Lee, Mildred Iatrou",Academy Awards,2019,Best Achievement in Sound Editing,0,2
Roma,"Sergio Diaz, Skip Lievsay",Academy Awards,2019,Best Achievement in Sound Editing,0,2
First Man,"Paul Lambert, Ian Hunter, Tristan Myles, J.D. Schwalm",Academy Awards,2019,Best Achievement in Visual Effects,1,2
Avengers: Infinity War,"Dan DeLeeuw, Kelly Port, Russell Earl, Daniel Sudick",Academy Awards,2019,Best Achievement in Visual Effects,0,2
Christopher Robin,"Chris Lawrence, Mike Eames, Theo Jones, Chris Corbould",Academy Awards,2019,Best Achievement in Visual Effects,0,2
Ready Player One,"Roger Guyett, Grady Cofer, Matthew E. Butler, David Shirk",Academy Awards,2019,Best Achievement in Visual Effects,0,2
Solo: A Star Wars Story,"Rob Bredow, Patrick Tubach, Neal Scanlan, Dominic Tuohy",Academy Awards,2019,Best Achievement in Visual Effects,0,2
Free Solo,"Elizabeth Chai Vasarhelyi, Jimmy Chin, Evan Hayes, Shannon Dill",Academy Awards,2019,Best Documentary Feature,1,2
"Hale County This Morning, This Evening","RaMell Ross, Joslyn Barnes, Su Kim",Academy Awards,2019,Best Documentary Feature,0,2
Minding the Gap,"Bing Liu, Diane Moy Quon",Academy Awards,2019,Best Documentary Feature,0,2
Of Fathers and Sons,"Talal Derki, Ansgar Frerich, Eva Kemme, Tobias Siebert",Academy Awards,2019,Best Documentary Feature,0,2
RBG,"Betsy West, Julie Cohen",Academy Awards,2019,Best Documentary Feature,0,2
Period. End of Sentence.,"Rayka Zehtabchi, Melissa Berton",Academy Awards,2019,Best Documentary Short Subject,1,2
A Night at the Garden,Marshall Curry,Academy Awards,2019,Best Documentary Short Subject,0,2
Black Sheep,"Ed Perkins, Jonathan Chinn",Academy Awards,2019,Best Documentary Short Subject,0,2
End Game,"Rob Epstein, Jeffrey Friedman",Academy Awards,2019,Best Documentary Short Subject,0,2
Lifeboat,"Skye Fitzgerald, Bryn Mooser",Academy Awards,2019,Best Documentary Short Subject,0,2
Spider-Man: Into the Spider-Verse,"Bob Persichetti, Peter Ramsey, Rodney Rothman, Phil Lord, Christopher Miller",Academy Awards,2019,Best Animated Feature Film,1,2
Incredibles 2,"Brad Bird, John Walker, Nicole Paradis Grindle",Academy Awards,2019,Best Animated Feature Film,0,2
Isle of Dogs,"Wes Anderson, Scott Rudin, Steven Rales, Jeremy Dawson",Academy Awards,2019,Best Animated Feature Film,0,2
Mirai,"Mamoru Hosoda, Yûichirô Saitô",Academy Awards,2019,Best Animated Feature Film,0,2
Ralph Breaks the Internet,"Rich Moore, Phil Johnston, Clark Spencer",Academy Awards,2019,Best Animated Feature Film,0,2
Bao,"Domee Shi, Becky Neiman",Academy Awards,2019,Best Animated Short Film,1,2
Animal Behaviour,"Alison Snowden, David Fine",Academy Awards,2019,Best Animated Short Film,0,2
Late Afternoon,"Louise Bagnall, Nuria González Blanco",Academy Awards,2019,Best Animated Short Film,0,2
One Small Step,"Andrew Chesworth, Bobby Pontillas",Academy Awards,2019,Best Animated Short Film,0,2
Weekends,Trevor Jimenez,Academy Awards,2019,Best Animated Short Film,0,2
Skin,"Guy Nattiv, Jaime Ray Newman",Academy Awards,2019,Best Live Action Short Film,1,2
Detainment,"Vincent Lambe, Darren Mahon",Academy Awards,2019,Best Live Action Short Film,0,2
Fauve,"Jeremy Comte, Maria Gracia Turgeon",Academy Awards,2019,Best Live Action Short Film,0,2
Madre,"Rodrigo Sorogoyen, María del Puy Alvarado",Academy Awards,2019,Best Live Action Short Film,0,2
Marguerite,"Marianne Farley, Marie-Hélène Panisset",Academy Awards,2019,Best Live Action Short Film,0,2
Roma,,Academy Awards,2019,Best Foreign Language Film of the Year,1,2
Capernaum,,Academy Awards,2019,Best Foreign Language Film of the Year,0,2
Cold War,,Academy Awards,2019,Best Foreign Language Film of the Year,0,2
Never Look Away,,Academy Awards,2019,Best Foreign Language Film of the Year,0,2
Shoplifters,,Academy Awards,2019,Best Foreign Language Film of the Year,0,2
The Shape of Water,"Guillermo del Toro, J. Miles Dale",Academy Awards,2018,Best Motion Picture of the Year,1,3
Call Me by Your Name,"Peter Spears, Luca Guadagnino, Emilie Georges, Marco Morabito",Academy Awards,2018,Best Motion Picture of the Year,0,3
Darkest Hour,"Tim Bevan, Eric Fellner, Lisa Bruce, Anthony McCarten, Douglas Urbanski",Academy Awards,2018,Best Motion Picture of the Year,0,3
Dunkirk,"Emma Thomas, Christopher Nolan",Academy Awards,2018,Best Motion Picture of the Year,0,3
Get Out,"Sean McKittrick, Jason Blum, Edward H. Hamm Jr., Jordan Peele",Academy Awards,2018,Best Motion Picture of the Year,0,3
Lady Bird,"Scott Rudin, Eli Bush, Evelyn O'Neill",Academy Awards,2018,Best Motion Picture of the Year,0,3
Phantom Thread,"JoAnne Sellar, Paul Thomas Anderson, Megan Ellison, Daniel Lupi",Academy Awards,2018,Best Motion Picture of the Year,0,3
The Post,"Amy Pascal, Steven Spielberg, Kristie Macosko Krieger",Academy Awards,2018,Best Motion Picture of the Year,0,3
"Three Billboards Outside Ebbing, Missouri","Graham Broadbent, Peter Czernin, Martin McDonagh",Academy Awards,2018,Best Motion Picture of the Year,0,3
Gary Oldman,Darkest Hour,Academy Awards,2018,Best Performance by an Actor in a Leading Role,1,3
Daniel Day-Lewis,Phantom Thread,Academy Awards,2018,Best Performance by an Actor in a Leading Role,0,3
Daniel Kaluuya,Get Out,Academy Awards,2018,Best Performance by an Actor in a Leading Role,0,3
Denzel Washington,"Roman J. Israel, Esq.",Academy Awards,2018,Best Performance by an Actor in a Leading Role,0,3
Timothée Chalamet,Call Me by Your Name,Academy Awards,2018,Best Performance by an Actor in a Leading Role,0,3
Frances McDormand,"Three Billboards Outside Ebbing, Missouri",Academy Awards,2018,Best Performance by an Actress in a Leading Role,1,3
Margot Robbie,"I, Tonya",Academy Awards,2018,Best Performance by an Actress in a Leading Role,0,3
Meryl Streep,The Post,Academy Awards,2018,Best Performance by an Actress in a Leading Role,0,3
Sally Hawkins,The Shape of Water,Academy Awards,2018,Best Performance by an Actress in a Leading Role,0,3
