award_show,award,best_picture,best_actor,best_supporting_actor,best_actress,best_supporting_actress,best_director,best_original_screenplay,best_adapted_screenplay
Golden Globes,Best Performance by an Actress in a Limited Series or Motion Picture Made for Television,,,,,,,,
Golden Globes,Best Performance by an Actor in a Motion Picture - Comedy or Musical,,Best Actor,,,,,,
Golden Globes,Best Performance by an Actress in a Motion Picture - Comedy or Musical,,,,Best Actress,,,,
Golden Globes,Best Television Series - Comedy or Musical,,,,,,,,
Golden Globes,Best Performance by an Actor in a Television Series - Comedy or Musical,,,,,,,,
Golden Globes,Best Performance by an Actress in a Television Series - Comedy or Musical,,,,,,,,
Golden Globes,Best Motion Picture - Comedy or Musical,,,,,,,,
Golden Globes,"Best Performance by an Actor in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television",,,,,,,,
Golden Globes,"Best Performance by an Actress in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television",,,,,,,,
Golden Globes,Best Performance by an Actor in a Miniseries or Motion Picture Made for Television,,,,,,,,
Golden Globes,Best Performance by an Actress in a Miniseries or Motion Picture Made for Television,,,,,,,,
Golden Globes,Best Animated Feature Film,,,,,,,,
Golden Globes,Best Foreign Language Film,,,,,,,,
Golden Globes,Best Miniseries or Motion Picture Made for Television,,,,,,,,
Golden Globes,Best Performance by an Actress in a Miniseries or a Motion Picture Made for Television,,,,,,,,
Golden Globes,Best Animated Film,,,,,,,,
Golden Globes,Best Performance by an Actor in a Miniseries or a Motion Picture Made for Television,,,,,,,,
Critics Choice,Best Picture,Best Picture,,,,,,,
Critics Choice,Best Actor in a Drama Series,,,,,,,,
Critics Choice,Best Actor,,Best Actor,,,,,,
Critics Choice,Best Actor in a Comedy Series,,,,,,,,
Critics Choice,Best Young Actor/Actress,,,,,,,,
Critics Choice,Best Actress in a Drama Series,,,,,,,,
Critics Choice,Best Actress,,,,Best Actress,,,,
Critics Choice,Best Actress in a Comedy Series,,,,,,,,
Critics Choice,Best Supporting Actor,,,Best Supporting Actor,,,,,
Critics Choice,Best Supporting Actor in a Comedy Series,,,,,,,,
Critics Choice,Best Supporting Actor in a Drama Series,,,,,,,,
Critics Choice,Best Supporting Actress,,,,,Best Supporting Actress,,,
Critics Choice,Best Supporting Actress in a Comedy Series,,,,,,,,
Critics Choice,Best Supporting Actress in a Drama Series,,,,,,,,
Critics Choice,Best Director,,,,,,Best Director,,
Critics Choice,Best Original Screenplay,,,,,,,Best Original Screenplay,
Critics Choice,Best Adapted Screenplay,,,,,,,,Best Adapted Screenplay
Critics Choice,Best Cinematography,,,,,,,,
Critics Choice,Best Costume Design,,,,,,,,
Critics Choice,Best Editing,,,,,,,,
Critics Choice,Best Visual Effects,,,,,,,,
Critics Choice,Best Hair & Makeup,,,,,,,,
Critics Choice,Best Song,,,,,,,,
Critics Choice,Best Score,,,,,,,,
Critics Choice,Best Foreign Language Film,,,,,,,,
Critics Choice,Best Animated Feature,,,,,,,,
Critics Choice,Best Animated Series,,,,,,,,
Critics Choice,Best Acting Ensemble,,,,,,,,
Critics Choice,Best Action Movie,,,,,,,,
Critics Choice,Best Comedy,,,,,,,,
Critics Choice,Best Comedy Series,,,,,,,,
Critics Choice,Best Comedy Special,,,,,,,,
Critics Choice,Best Drama Series,,,,,,,,
Critics Choice,Best Limited Series,,,,,,,,
Critics Choice,Best Production Design,,,,,,,,
Critics Choice,Best Sci-Fi/Horror Movie,,,,,,,,
Critics Choice,Best Talk Show,,,,,,,,
Critics Choice,Best Actor in a Limited Series or Movie Made for Television,,,,,,,,
Critics Choice,Best Actress in a Limited Series or Movie Made for Television,,,,,,,,
Critics Choice,Best Supporting Actor in a Limited Series or Movie Made for Television,,,,,,,,
Critics Choice,Best Supporting Actress in a Limited Series or Movie Made for Television,,,,,,,,
Critics Choice,Best Movie Made for Television,,,,,,,,
Critics Choice,Best Actor in a Comedy,,,,,,,,
Critics Choice,Best Actress in a Comedy,,,,,,,,
Critics Choice,Best Supporting Actor in a Movie or Limited Series,,,,,,,,
Critics Choice,Best Supporting Actress in a Movie or Limited Series,,,,,,,,
Critics Choice,Best Animation Series,,,,,,,,
Critics Choice,Best Actor in a Movie Made for Television or Limited Series,,,,,,,,
Critics Choice,Best Actress in a Movie Made for Television or Limited Series,,,,,,,,
Critics Choice,Best Movie Made for TV,,,,,,,,
Critics Choice,Best Reality Competition Series,,,,,,,,
Critics Choice,Best Reality Show Host,,,,,,,,
Critics Choice,Best Structured Reality Series,,,,,,,,
Critics Choice,Best Unstructured Reality Show,,,,,,,,
Critics Choice,Best Actor in an Action Movie,,,,,,,,
Critics Choice,Best Actress in an Action Movie,,,,,,,,
Critics Choice,Best Art Direction,,,,,,,,
Critics Choice,Best Documentary Feature,,,,,,,,
Critics Choice,Best Actor in a Comedy Movie,,,,,,,,
Critics Choice,Best Actress in a Comedy Movie,,,,,,,,
Critics Choice,Best Comedy Movie,,,,,,,,
Critics Choice,Best Makeup,,,,,,,,
Critics Choice,Favorite Film Franchise,,,,,,,,
Critics Choice,Best Sound,,,,,,,,
Critics Choice,"Best Screenplay, Original",,,,,,,Best Original Screenplay,
Critics Choice,"Best Screenplay, Adapted",,,,,,,,Best Adapted Screenplay
Critics Choice,Best Picture Made for Television,,,,,,,,
Critics Choice,Best Composer,,,,,,,,
Critics Choice,Best Writer,,,,,,,,
Critics Choice,Best Young Actor/Actress (Under 21),,,,,,,,
Critics Choice,Best Documentary,,,,,,,,
Critics Choice,Best Family Film,,,,,,,,
Critics Choice,Best Young Actor,,,,,,,,
Critics Choice,Best Young Actress,,,,,,,,
Critics Choice,Best Family Film (Live Action),,,,,,,,
Critics Choice,Best Soundtrack,,,,,,,,
Critics Choice,Best Foreign-Language Film,,,,,,,,
Critics Choice,Best Popular Movie,,,,,,,,
Critics Choice,Best Family Film - Live Action,,,,,,,,
Critics Choice,Best Digital Acting Performance,,,,,,,,
Critics Choice,Best Actor in a Picture Made for Television,,,,,,,,
Critics Choice,Best Actress in a Picture Made for Television,,,,,,,,
Critics Choice,Best Animated Film,,,,,,,,
Critics Choice,Best Screenplay,,,,,,,Best Original Screenplay,
Critics Choice,Best Screenplay,,,,,,,,Best Adapted Screenplay
Critics Choice,Best Child Performance,,,,,,,,
Critics Choice,Best Feature Documentary,,,,,,,,
Critics Choice,Best Inanimate Object,,,,,,,,
Critics Choice,Breakthrough Artist,,,,,,,,
Chicago Film Critics,Best Actor,,Best Actor,,,,,,
Chicago Film Critics,Best Actress,,,,Best Actress,,,,
Chicago Film Critics,Best Adapted Screenplay,,,,,,,,Best Adapted Screenplay
Chicago Film Critics,Best Animated Film,,,,,,,,
Chicago Film Critics,Best Art Direction/Production Design,,,,,,,,
Chicago Film Critics,Best Cinematography,,,,,,,,
Chicago Film Critics,Best Costume Design,,,,,,,,
Chicago Film Critics,Best Director,,,,,,Best Director,,
Chicago Film Critics,Best Documentary,,,,,,,,
Chicago Film Critics,Best Editing,,,,,,,,
Chicago Film Critics,Best Foreign Language Film,,,,,,,,
Chicago Film Critics,Best Original Score,,,,,,,,
Chicago Film Critics,Best Original Screenplay,,,,,,,Best Original Screenplay,
Chicago Film Critics,Best Picture,Best Picture,,,,,,,
Chicago Film Critics,Best Supporting Actor,,,Best Supporting Actor,,,,,
Chicago Film Critics,Best Supporting Actress,,,,,Best Supporting Actress,,,
Chicago Film Critics,Best Use of Visual Effects,,,,,,,,
Chicago Film Critics,Most Promising Performer,,,,,,,,
Chicago Film Critics,Best Animated Feature,,,,,,,,
Chicago Film Critics,Most Promising Filmmaker,,,,,,,,
Chicago Film Critics,Best Art Direction,,,,,,,,
Chicago Film Critics,Best Foreign Film,,,,,,,,
Chicago Film Critics,"Best Screenplay, Adapted",,,,,,,,Best Adapted Screenplay
Chicago Film Critics,"Best Screenplay, Original",,,,,,,Best Original Screenplay,
Chicago Film Critics,Most Promising Director,,,,,,,,
Chicago Film Critics,Best Screenplay,,,,,,,Best Original Screenplay,
Chicago Film Critics,Best Screenplay,,,,,,,,Best Adapted Screenplay
Chicago Film Critics,Best New Director,,,,,,,,
Chicago Film Critics,Most Promising Actor,,,,,,,,
Chicago Film Critics,Most Promising Actress,,,,,,,,
Satellite,Best Actor in a Miniseries & Limited Series or a Motion Picture Made for Television,,,,,,,,
Satellite,"Best Actor in a Motion Picture, Comedy or Musical",,Best Actor,,,,,,
Satellite,"Best Actor in a Motion Picture, Drama",,Best Actor,,,,,,
Satellite,"Best Actor in a Series, Comedy or Musical",,,,,,,,
Satellite,"Best Actor in a Series, Drama/Genre",,,,,,,,
Satellite,Best Actor in a Supporting Role,,,Best Supporting Actor,,,,,
Satellite,"Best Actor in a Supporting Role in a Series, Miniseries & Limited Series or a Motion Picture Made for Television",,,,,,,,
Satellite,Best Actress in a Miniseries & Limited Series or a Motion Picture Made for Television,,,,,,,,
Satellite,"Best Actress in a Motion Picture, Comedy or Musical",,,,Best Actress,,,,
Satellite,"Best Actress in a Motion Picture, Drama",,,,Best Actress,,,,
Satellite,"Best Actress in a Series, Comedy or Musical",,,,,,,,
Satellite,"Best Actress in a Series, Drama/Genre",,,,,,,,
Satellite,Best Actress in a Supporting Role,,,,,Best Supporting Actress,,,
Satellite,"Best Actress in a Supporting Role in a Series, Miniseries & Limited Series or a Motion Picture Made for Television",,,,,,,,
Satellite,Best Art Direction & Production Design,,,,,,,,
Satellite,Best Cinematography,,,,,,,,
Satellite,Best Costume Design,,,,,,,,
Satellite,Best Director,,,,,,Best Director,,
Satellite,Best Film Editing,,,,,,,,
Satellite,Best Miniseries & Limited Series,,,,,,,,
Satellite,Best Motion Picture Made for Television,,,,,,,,
Satellite,"Best Motion Picture, Animated or Mixed Media",,,,,,,,
Satellite,"Best Motion Picture, Comedy or Musical",,,,,,,,
Satellite,"Best Motion Picture, Documentary",,,,,,,,
Satellite,"Best Motion Picture, Drama",Best Picture,,,,,,,
Satellite,"Best Motion Picture, International Film",,,,,,,,
Satellite,Best Original Score,,,,,,,,
Satellite,Best Original Song,,,,,,,,
Satellite,"Best Screenplay, Adapted",,,,,,,,Best Adapted Screenplay
Satellite,"Best Screenplay, Original",,,,,,,Best Original Screenplay,
Satellite,Best Sound (Editing & Mixing),,,,,,,,
Satellite,"Best Television Series, Comedy or Musical",,,,,,,,
Satellite,"Best Television Series, Drama",,,,,,,,
Satellite,"Best Television Series, Genre",,,,,,,,
Satellite,Best Visual Effects,,,,,,,,
Satellite,"Best Ensemble, Motion Picture",,,,,,,,
Satellite,"Best Ensemble, Television",,,,,,,,
Satellite,"Best Motion Picture, Comedy or Musical (Major, Independent or International)",,,,,,,,
Satellite,"Best Motion Picture, Drama (Independent)",,,,,,,,
Satellite,"Best Motion Picture, Drama (Major)",Best Picture,,,,,,,
Satellite,Best Actor in a Miniseries or a Motion Picture Made for Television,,,,,,,,
Satellite,Best Actor in a Motion Picture,,Best Actor,,,,,,
Satellite,"Best Actor in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television",,,,,,,,
Satellite,Best Actress in a Miniseries or a Motion Picture Made for Television,,,,,,,,
Satellite,Best Actress in a Motion Picture,,,,Best Actress,,,,
Satellite,"Best Actress in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television",,,,,,,,
Satellite,Best Miniseries,,,,,,,,
Satellite,Best Motion Picture,Best Picture,,,,,,,
Satellite,Best Miniseries or Motion Picture Made for Television,,,,,,,,
Satellite,"Best Actor in a Series, Drama",,,,,,,,
Satellite,"Best Actor in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television",,,,,,,,
Satellite,"Best Actress in a Series, Drama",,,,,,,,
Satellite,"Best Actress in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television",,,,,,,,
Satellite,Best First Feature,,,,,,,,
Satellite,Outstanding Blu-Ray,,,,,,,,
Satellite,Best Miniseries Made for Television,,,,,,,,
Satellite,Outstanding Overall Blu-Ray/DVD,,,,,,,,
Satellite,Best Original Short-Format Program,,,,,,,,
Satellite,Best Overall Blu-Ray,,,,,,,,
Satellite,Best Sound (Mixing & Editing),,,,,,,,
Satellite,"Best Television Series or Miniseries, Genre",,,,,,,,
Satellite,Best Youth Blu-Ray,,,,,,,,
Satellite,Outstanding Action or Adventure Video Game,,,,,,,,
Satellite,Outstanding Mobile Game,,,,,,,,
Satellite,Outstanding Role Playing Game,,,,,,,,
Satellite,Outstanding Sports or Racing Game,,,,,,,,
Satellite,Best Action/Adventure Game,,,,,,,,
Satellite,Best Mobile Game,,,,,,,,
Satellite,Best Role Playing Game,,,,,,,,
Satellite,Best Classic DVD,,,,,,,,
Satellite,Best DVD Extras,,,,,,,,
Satellite,Best Educational Film,,,,,,,,
Satellite,"Best Motion Picture, Foreign Language Film",,,,,,,,
Satellite,Best Youth DVD,,,,,,,,
Satellite,Outstanding Action/Adventure Game,,,,,,,,
Satellite,Outstanding Sports/Racing Game,,,,,,,,
Satellite,Best Documentary DVD,,,,,,,,
Satellite,Career of Outstanding Service in the Entertainment Industry,,,,,,,,
Satellite,Best Overall Blu-Ray Disc,,,,,,,,
Satellite,Best Overall DVD,,,,,,,,
Satellite,Best Sound (Mixing and Editing),,,,,,,,
Satellite,10 Best Films of 2009,,,,,,,,
Satellite,Outstanding Guest Star,,,,,,,,
Satellite,Outstanding New Talent,,,,,,,,
Satellite,Best DVD Release of a TV Show,,,,,,,,
Satellite,"Best Actor in a Supporting Role, Drama",,,Best Supporting Actor,,,,,
Satellite,"Best Actress in a Supporting Role, Drama",,,,,Best Supporting Actress,,,
Satellite,"Best Motion Picture, Foreign Film",,,,,,,,
Satellite,Outstanding Puzzle/Strategy Game,,,,,,,,
Satellite,Outstanding Sports/Rhythm/Music Game,,,,,,,,
Satellite,"Best Motion Picture, Foreign Language",,,,,,,,
Satellite,Outstanding Game Based on a Previous Medium,,,,,,,,
Satellite,Outstanding Sports Game,,,,,,,,
Satellite,Best Game Based on a Previous Medium (Film/Television),,,,,,,,
Satellite,Best Puzzle/Strategy Game,,,,,,,,
Satellite,Best Sports/Fighting/Racing Game,,,,,,,,
Satellite,Outstanding Actor in a Miniseries or a Motion Picture Made for Television,,,,,,,,
Satellite,"Outstanding Actor in a Motion Picture, Comedy or Musical",,Best Actor,,,,,,
Satellite,"Outstanding Actor in a Motion Picture, Drama",,Best Actor,,,,,,
Satellite,"Outstanding Actor in a Series, Comedy or Musical",,,,,,,,
Satellite,"Outstanding Actor in a Series, Drama",,,,,,,,
Satellite,"Outstanding Actor in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television",,,,,,,,
Satellite,"Outstanding Actor in a Supporting Role, Comedy or Musical",,,Best Supporting Actor,,,,,
Satellite,"Outstanding Actor in a Supporting Role, Drama",,,Best Supporting Actor,,,,,
Satellite,Outstanding Actress in a Miniseries or a Motion Picture Made for Television,,,,,,,,
Satellite,"Outstanding Actress in a Motion Picture, Comedy or Musical",,,,Best Actress,,,,
Satellite,"Outstanding Actress in a Motion Picture, Drama",,,,Best Actress,,,,
Satellite,"Outstanding Actress in a Series, Comedy or Musical",,,,,,,,
Satellite,"Outstanding Actress in a Series, Drama",,,,,,,,
Satellite,"Outstanding Actress in a Supporting Role in a Series, Mini-Series or Motion Picture Made for Television",,,,,,,,
Satellite,"Outstanding Actress in a Supporting Role, Comedy or Musical",,,,,Best Supporting Actress,,,
Satellite,"Outstanding Actress in a Supporting Role, Drama",,,,,Best Supporting Actress,,,
Satellite,Outstanding Art Direction & Production Design,,,,,,,,
Satellite,Outstanding Cinematography,,,,,,,,
Satellite,Outstanding Classic DVD,,,,,,,,
Satellite,Outstanding Costume Design,,,,,,,,
Satellite,Outstanding DVD Extras,,,,,,,,
Satellite,Outstanding DVD Release of a Television Show,,,,,,,,
Satellite,Outstanding Director,,,,,,Best Director,,
Satellite,Outstanding Documentary DVD,,,,,,,,
Satellite,Outstanding Film Editing,,,,,,,,
Satellite,Outstanding Miniseries,,,,,,,,
Satellite,Outstanding Motion Picture Made for Television,,,,,,,,
Satellite,"Outstanding Motion Picture, Animated or Mixed Media",,,,,,,,
Satellite,"Outstanding Motion Picture, Comedy or Musical",,,,,,,,
Satellite,"Outstanding Motion Picture, Documentary",,,,,,,,
Satellite,"Outstanding Motion Picture, Drama",,,,,,,,
Satellite,"Outstanding Motion Picture, Foreign Film",,,,,,,,
Satellite,Outstanding Original Score,,,,,,,,
Satellite,Outstanding Original Song,,,,,,,,
Satellite,Outstanding Overall DVD,,,,,,,,
Satellite,"Outstanding Screenplay, Adapted",,,,,,,,Best Adapted Screenplay
Satellite,"Outstanding Screenplay, Original",,,,,,,Best Original Screenplay,
Satellite,Outstanding Sound (Mixing & Editing),,,,,,,,
Satellite,"Outstanding Television Series, Comedy or Musical",,,,,,,,
Satellite,"Outstanding Television Series, Drama",,,,,,,,
Satellite,Outstanding Visual Effects,,,,,,,,
Satellite,Outstanding Youth DVD,,,,,,,,
Satellite,"Best Actor in a Supporting Role, Comedy or Musical",,,Best Supporting Actor,,,,,
Satellite,"Best Actress in a Supporting Role, Comedy or Musical",,,,,Best Supporting Actress,,,
Satellite,Best Art Direction/Production Design,,,,,,,,
Satellite,Best DVD Extra,,,,,,,,
Satellite,Best DVD Release of TV Shows,,,,,,,,
Satellite,"Outstanding Game Based on a Previous Medium (Film, TV, etc.)",,,,,,,,
Satellite,Best Ensemble,,,,,,,,
Satellite,"Best Actor in a Supporting Role in a Series, Comedy or Musical",,,,,,,,
Satellite,"Best Actor in a Supporting Role in a Series, Drama",,,,,,,,
Satellite,"Best Actor in a Supporting Role in a Series, Miniseries or a Motion Picture Made for Television",,,,,,,,
Satellite,Best Actress in a Supporting Role in a Miniseries or a Motion Picture Made for Television,,,,,,,,
Satellite,"Best Actress in a Supporting Role in a Series, Comedy or Musical",,,,,,,,
Satellite,"Best Actress in a Supporting Role in a Series, Drama",,,,,,,,
Satellite,Best Classic DVD Release,,,,,,,,
Satellite,Best Performance by an Actress in a Miniseries or a Motion Picture Made for Television,,,,,,,,
Satellite,Best Sound,,,,,,,,
Satellite,Most Innovative Story Design - Interactive Media,,,,,,,,
Satellite,Outstanding Art Direction - Interactive Media,,,,,,,,
Satellite,Outstanding Character from an Interactive Media,,,,,,,,
Satellite,Outstanding Execution of a Gaming Concept - Game of the Year,,,,,,,,
Satellite,Best Art Direction,,,,,,,,
Satellite,Special Humanitarian DVD,,,,,,,,
Satellite,Outstanding Motion Picture Ensemble,,,,,,,,
Satellite,Best Interactive Product/Computer Software,,,,,,,,
Satellite,Best Interactive Product/Video Game,,,,,,,,
Satellite,Best Internet Site,,,,,,,,
Satellite,Best Performance by an Actor in a Miniseries or a Motion Picture Made for Television,,,,,,,,
Satellite,"Best Performance by an Actor in a Motion Picture, Comedy or Musical",,Best Actor,,,,,,
Satellite,"Best Performance by an Actor in a Motion Picture, Drama",,Best Actor,,,,,,
Satellite,"Best Performance by an Actor in a Series, Comedy or Musical",,,,,,,,
Satellite,"Best Performance by an Actor in a Series, Drama",,,,,,,,
Satellite,"Best Performance by an Actor in a Supporting Role in a Series, Miniseries or a Motion Picture Made for Television",,,,,,,,
Satellite,"Best Performance by an Actor in a Supporting Role, Comedy or Musical",,,Best Supporting Actor,,,,,
Satellite,"Best Performance by an Actor in a Supporting Role, Drama",,,Best Supporting Actor,,,,,
Satellite,"Best Performance by an Actress in a Motion Picture, Comedy or Musical",,,,Best Actress,,,,
Satellite,"Best Performance by an Actress in a Motion Picture, Drama",,,,Best Actress,,,,
Satellite,"Best Performance by an Actress in a Series, Comedy or Musical",,,,,,,,
Satellite,"Best Performance by an Actress in a Series, Drama",,,,,,,,
Satellite,Best Performance by an Actress in a Supporting Role in a Miniseries or a Motion Picture Made for Television,,,,,,,,
Satellite,"Best Performance by an Actress in a Supporting Role, Comedy or Musical",,,,,Best Supporting Actress,,,
Satellite,"Best Performance by an Actress in a Supporting Role, Drama",,,,,Best Supporting Actress,,,
Satellite,Outstanding Television Ensemble,,,,,,,,
Satellite,Best Interactive Product/Computer Educational,,,,,,,,
Satellite,"Best Art Direction, Production Design",,,,,,,,
Satellite,Best Home Entertainment Product/Kids & Family,,,,,,,,
Satellite,Best Interactive Product/CD-ROM Game,,,,,,,,
Satellite,Best Interactive Product/CD-ROM Industry,,,,,,,,
Satellite,Outstanding Contribution to Entertainment New Media,,,,,,,,
Satellite,Best Actor in a Supporting Role in a Miniseries or a Motion Picture Made for Television,,,,,,,,
Satellite,"Best Actor in a Supporting Role in a Motion Picture, Comedy or Musical",,,Best Supporting Actor,,,,,
Satellite,"Best Actor in a Supporting Role in a Motion Picture, Drama",,,Best Supporting Actor,,,,,
Satellite,"Best Actress in a Supporting Role in a Motion Picture, Comedy or Musical",,,,,Best Supporting Actress,,,
Satellite,"Best Actress in a Supporting Role in a Motion Picture, Drama",,,,,Best Supporting Actress,,,
Satellite,Best Home Entertainment Product/Game,,,,,,,,
Satellite,Best Interactive Product/CD-ROM Entertainment,,,,,,,,
Satellite,"Best Interactive Product/CD-ROM Educational, Children",,,,,,,,
Satellite,Outstanding Contribution to New Media,,,,,,,,
Directors Guild,Outstanding Directorial Achievement in Documentary,,,,,,,,
Directors Guild,Outstanding Directorial Achievement in Dramatic Series,,,,,,,,
Directors Guild,Outstanding Directorial Achievement in Comedy Series,,,,,,,,
Directors Guild,Outstanding Directorial Achievement in Variety/Talk/News/Sports - Specials,,,,,,,,
Directors Guild,Outstanding Directorial Achievement in Reality Programs,,,,,,,,
Directors Guild,Outstanding Directorial Achievement in Children's Programs,,,,,,,,
Directors Guild,Outstanding Directorial Achievement in Commercials,,,,,,,,
Directors Guild,Outstanding Directorial Achievement in Feature Film,,,,,,Best Director,,
